职位,薪资,工作时间,公司,工作地点,所在城市
高级算法工程师,20k-40k,3-5年,杭州大名软件有限公司,华星时代广场,杭州
算法工程师,12k-17k,在校/应届,新奥阳光易采科技有限公司,摩托罗拉大厦A3层,北京
SJZ-运筹优化算法工程师,30k-60k,3-5年,顺丰科技有限公司,科技南一路68号深投控创智天地大厦B栋,深圳
KHQ-大数据挖掘与分析工程师,25k-50k,5-10年,顺丰科技有限公司,科技南一路68号深投控创智天地大厦B栋,深圳
运筹优化算法工程师,12k-24k,在校/应届,顺丰科技有限公司,深投控创智天地大厦（科技南一路与高新二道交叉口东北150米）,深圳
大数据挖掘与分析工程师,35k-50k,3-5年,顺丰科技有限公司,深圳市南山区科技南一路68号深投控创智天地大厦B栋,深圳
ITY-大数据挖掘与分析工程师,25k-35k,3-5年,顺丰科技有限公司,深投控创智天地大厦（科技南一路与高新二道交叉口东北150米）,深圳
JYJ-大数据挖掘与分析工程师,20k-30k,3-5年,顺丰科技有限公司,深投控创智天地大厦（科技南一路与高新二道交叉口东北150米）,深圳
HYK-大数据挖掘与分析高级工程师,25k-35k,5-10年,顺丰科技有限公司,上海市虹口区海伦中心A座32楼,上海
HYK-算法工程师,25k-35k,3-5年,顺丰科技有限公司,深投控创智天地大厦（科技南一路与高新二道交叉口东北150米）,深圳
高级算法工程师（应用生态）,25k-50k,3-5年,OPPO广东移动通信有限公司,听海大道华润前海大厦B座,深圳
ai算法工程师（应用研,25k-50k,1-3年,万翼科技有限公司,微软科通大厦16楼,深圳
频道运营（数据挖掘）,15k-25k,3-5年,广州埋堆堆科技有限公司,富力盈信大厦3805,广州
激光slam算法工程师,20k-40k,1-3年,深兰科技（上海）有限公司,威宁路369号,上海
vslam算法工程师,20k-40k,1-3年,深兰科技（上海）有限公司,威宁路369号,上海
机器人运动规划算法工程师,20k-40k,1-3年,深兰科技（上海）有限公司,威宁路369号,上海
决策规划算法工程师（自动驾驶/机器人）,30k-50k,3-5年,深兰科技（上海）有限公司,威宁路369号,上海
图像算法工程师,15k-30k,1-3年,软通动力技术服务有限公司北京分公司,华为基地D区,深圳
智能调度算法工程师-AI Lab,20k-40k,不限,抖音视界（北京）有限公司,中国大陆北京北京市海淀区海淀北二街10号泰鹏大厦10层，邮编：100080,北京
短视频业务部_视频推荐算法工程师(J50748),20k-40k,1-3年,百度在线网络技术（北京）有限公司,鹏寰,北京
短视频业务部_视频推荐算法工程师(J50748),20k-40k,不限,百度在线网络技术（北京）有限公司,鹏寰,北京
资深数据挖掘工程师 (MJ007387),30k-45k,5-10年,广州希音供应链管理有限公司,软件大道170-1天溯科技园5号楼7 8 9 10 12 15层,南京
视觉算法工程师,15k-30k,3-5年,中国科学院自动化研究所,武汉人工智能研究院,武汉
深度学习算法工程师,15k-30k,3-5年,北京格灵深瞳信息技术股份有限公司,百利中心A座,合肥
机器人控制算法工程师,20k-40k,不限,北京格灵深瞳信息技术股份有限公司,天地邻枫创新产业园1号楼B栋,北京
3D视觉算法工程师,20k-40k,不限,北京格灵深瞳信息技术股份有限公司,天地邻枫创新产业园1号楼B栋,北京
推荐算法工程师,20k-40k,1-3年,北京搜狐新媒体信息技术有限公司,搜狐媒体大厦,北京
推荐算法工程师,30k-45k,1年以下,北京搜狐新媒体信息技术有限公司,搜狐媒体大厦,北京
推荐算法工程师,25k-35k,3-5年,北京拉勾网络技术有限公司,中关村创业大街海置创投大厦4层,北京
搜索推荐算法工程师,25k-35k,3-5年,北京拉勾网络技术有限公司,中关村创业大街海置创投大厦4层,北京
算法开发工程师,25k-47k,5-10年,广州凌隆网络科技有限公司,桃源西路,广州
ai算法工程师,15k-25k,1-3年,上海直真君智科技有限公司,西村大院1号楼,成都
大数据挖掘工程师 (MJ004835),30k-50k,3-5年,华人运通控股（上海）有限公司,上海市闵行区华人运通上海运营中心万芳路1339号,上海
导航算法工程师,11k-22k,不限,中国兵器装备集团自动化研究所有限公司,仙人路二段7号,绵阳
计算机视觉初级算法工程师,15k-30k,1-3年,中航信移动科技有限公司,古城创业,北京
嵌入式算法工程师,20k-35k,3-5年,天翼物联科技有限公司,浦东南路1835号,上海
深度学习算法工程师,20k-40k,3-5年,每平每屋（上海）科技有限公司,陆家嘴软件园12号楼,上海
AML 机器学习系统研发工程师,25k-50k,不限,抖音视界（北京）有限公司,中国大陆北京北京市海淀区北三环西路43号中航广场1号楼（矮楼），邮编：100089,北京
高级测试开发工程师（机器学习评估评测方向）,20k-40k,3-5年,抖音视界（北京）有限公司,南海大道2163号来福士广场17层,深圳
机器学习算法工程师,18k-30k,3-5年,金蝶信用科技（深圳）有限公司,高新技术产业园南区科技南十二路2号,深圳
计算机视觉中级算法工程师,20k-35k,3-5年,中航信移动科技有限公司,古城创业,北京
资深算法工程师,18k-28k,5-10年,武汉福禄网络科技有限公司,金融港B2栋2楼,武汉
机器视觉算法工程师,15k-30k,1-3年,北京外企德科人力资源服务上海有限公司,九峰三路与珊瑚北路交叉口西北200米华为武汉研究所新基地A区,武汉
通信算法工程师,20k-40k,3-5年,脉聘企业发展（上海）有限公司,青浦区,上海
图像算法工程师,20k-30k,1-3年,杭州雪鸮网络科技有限公司,东方茂商业中心T1 14楼1423,杭州
自然语言处理算法工程师,20k-30k,3-5年,深圳天源迪科信息技术股份有限公司,国实大厦,深圳
电机控制算法工程师,20k-40k,1-3年,上海沣栊人才服务有限公司,花乡高立庄616号新华国际中心,北京
算法工程师 （视频编解码）,30k-60k,3-5年,深圳比特微电子科技有限公司,天府大道中段530号,成都
音频算法工程师,18k-35k,3-5年,深圳软牛科技有限公司,宝中前海人寿金融中心T2栋13层,深圳
图形（几何）算法工程师(J10076),20k-40k,不限,深圳市嘉立创科技发展有限公司,商报路奥林匹克大厦27楼,深圳
医学图像算法工程师,15k-30k,1-3年,北京和信康科技有限公司,朝外西街3号1幢兆泰国际中心C座5层506-507室,北京
自动驾驶功能算法工程师,20k-40k,3-5年,上海蔚来汽车有限公司,漕河泾科技绿洲4期18号楼,上海
自动驾驶控制算法工程师,30k-60k,3-5年,北京京邦达贸易有限公司,永昌中路16号北京京东乾石科技有限公司,北京
自动驾驶决策规划算法工程师,30k-60k,3-5年,北京京邦达贸易有限公司,永昌中路16号北京京东乾石科技有限公司,北京
感知算法工程师,40k-70k,3-5年,北京京邦达贸易有限公司,京东总部,北京
机器学习/深度学习算法工程师（预测/仿真） (MJ000237),22k-28k,在校/应届,上海仙途智能科技有限公司,鑫沣工业园,上海
美团首页推荐算法工程师,40k-60k,不限,北京三快在线科技有限公司,望京东路科创大厦,北京
美团APP-电商推荐-高级推荐算法工程师,40k-60k,不限,北京三快在线科技有限公司,望京东路科创大厦,北京
【实习】搜索算法工程师,4k-6k,在校/应届,北京三快在线科技有限公司,望京东路科创大厦,北京
【实习】搜索算法工程师（实习）,4k-8k,不限,北京三快在线科技有限公司,望京东路科创大厦,北京
美团App-高级推荐算法工程师,40k-60k,1-3年,北京三快在线科技有限公司,望京东路科创大厦,北京
TUSK专场-视觉感知算法工程师 (MJ005428),18k-35k,不限,广州欢聚时代信息科技有限公司,宝石西路a1,佛山
TUSK专场-运动控制算法工程师 (MJ005429),18k-35k,1-3年,广州欢聚时代信息科技有限公司,宝石西路a1,佛山
TUSK专场-调度算法工程师 (MJ005423),15k-30k,1-3年,广州欢聚时代信息科技有限公司,宝石西路a1,佛山
图像识别算法工程师,15k-25k,3-5年,柏美迪康环境科技（上海）股份有限公司,美年中心,成都
智能驾驶感知算法工程师,18k-21k,1-3年,上海帆一尚行科技有限公司,金桥路65号,上海
电商风控算法工程师,30k-55k,5-10年,北京达佳互联信息技术有限公司,上地八街七号院融科融智,北京
高级视觉算法工程师（传统cv 校招+社招）,35k-65k,不限,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
高级深度学习算法工程师（工业视觉）,35k-65k,不限,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
深度学习算法工程师（工业视觉 校招+社招）,22k-40k,不限,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
视觉算法工程师,22k-40k,在校/应届,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
机器人算法工程师,22k-40k,在校/应届,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
深度学习算法工程师,22k-40k,在校/应届,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
高级算法工程师,25k-50k,3-5年,丰疆智能（深圳）有限公司,当代梦工厂7号楼,武汉
路径规划算法工程师,30k-60k,3-5年,丰疆智能（深圳）有限公司,卫星大厦1709,深圳
GNSS算法工程师,30k-60k,1-3年,丰疆智能（深圳）有限公司,卫星大厦1709,深圳
路径规划算法工程师,30k-60k,3-5年,丰疆智能（深圳）有限公司,卫星大厦1709,深圳
GNSS算法工程师,30k-60k,1-3年,丰疆智能（深圳）有限公司,卫星大厦1709,深圳
GNSS算法工程师,30k-60k,1-3年,丰疆智能（深圳）有限公司,当代梦工厂7号楼,武汉
控制算法工程师,30k-60k,1-3年,丰疆智能（深圳）有限公司,凤游寺悦动新门西,南京
GIS高级算法工程师,25k-40k,3-5年,丰疆智能（深圳）有限公司,当代梦工厂7号楼,武汉
自然语言处理（NLP）算法工程师【No.003】,15k-30k,1-3年,北京优幕科技有限责任公司,宣武门庄胜广场办公楼,北京
推荐算法工程师,30k-60k,1-3年,上海寻梦信息技术有限公司,娄山关路533号金虹桥国际中心,上海
推荐算法工程师/专家,30k-60k,不限,上海寻梦信息技术有限公司,娄山关路533号金虹桥国际中心,上海
图像算法工程师,25k-50k,3-5年,上海寻梦信息技术有限公司,娄山关路533号金虹桥国际中心,上海
国际支付-风控算法工程师（新加坡）,40k-80k,3-5年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区北三环西路43号中航广场1号楼（矮楼），邮编：100089,北京
3A音频算法工程师-智创语音,25k-50k,3-5年,抖音视界（北京）有限公司,中国大陆上海上海市徐汇区古美路1520号漕河泾中心B座1层，邮编：200233,上海
机器学习平台研发工程师-AML,25k-50k,不限,抖音视界（北京）有限公司,中国大陆上海上海市徐汇区古美路1520号漕河泾中心C座28层，邮编：200233,上海
策略算法工程师,30k-50k,5-10年,贝壳找房（北京）科技有限公司,北京市海淀区上地八街创业路2号东方电子科技大厦贝壳找房,北京
ai算法工程师,40k-60k,5-10年,新奥阳光易采科技有限公司,摩托罗拉大厦A3层,北京
视频配乐资深算法工程师,35k-70k,3-5年,行吟信息科技（上海）有限公司,中海国际中心B座18楼,北京
多模态内容理解算法工程师,40k-60k,不限,北京车之家信息技术有限公司,北京市海淀区丹棱街3号中国电子大厦B座2层,北京
深度学习算法工程师,30k-60k,5-10年,前锦网络信息技术（上海）有限公司,晶耀前滩T6,上海
资深算法工程师(X6832),25k-40k,3-5年,深圳店匠科技有限公司,彩讯科技大厦30F,深圳
高级/资深算法工程师,20k-40k,3-5年,杭州安恒信息技术股份有限公司,北京市朝阳区北辰东路8号院1号楼北辰时代大厦3层,北京
语音算法工程师 (MJ001492),40k-65k,3-5年,北京云非科技有限公司,明阳国际中心B座,北京
PVT算法工程师/专家,25k-50k,3-5年,千寻位置网络有限公司,国权北路1688号湾谷科技园C5栋,上海
高级数据挖掘工程师（游戏AI）,30k-60k,5-10年,腾讯科技（深圳）有限公司,生态园,深圳
slam算法工程师(U4631),25k-50k,5-10年,广州宸祺出行科技有限公司,广州市海珠区琶洲街道阅江西路370号广报中心北塔（2号楼）20楼,广州
多源信息融合定位算法工程师（地点嘉兴）,25k-50k,不限,中国电子科技南湖研究院,工作地点嘉兴南湖,杭州
多源信息融合定位算法工程师,25k-50k,不限,中国电子科技南湖研究院,工作地点嘉兴南湖,上海
标定算法工程师（D9595）,20k-40k,3-5年,广州宸祺出行科技有限公司,广州市海珠区琶洲街道阅江西路370号广报中心北塔（2号楼）20楼,广州
计算机图形算法工程师,15k-30k,5-10年,广州中望龙腾软件股份有限公司,保利天悦中心,武汉
nlp算法工程师,25k-45k,3-5年,浙江集享电子商务有限公司,〔杭州湾信息港〕经济技术开发区启迪路198号二期南楼,杭州
kf—算法工程师,20k-30k,1-3年,腾讯科技（深圳）有限公司,光启,深圳
视觉SLAM算法工程师,20k-40k,不限,深圳市众星智能设备有限公司,祥腾财富广场,上海
算法平台研发工程师-【架构中心】,30k-50k,3-5年,北京达佳互联信息技术有限公司,学院路28号德力西大厦,杭州
核心算法工程师(j10145),15k-20k,不限,浙江之科云启科技有限公司,无锡市山水城科教软件园,无锡
算法分析移植工程师(J10144),15k-25k,1-3年,浙江之科云启科技有限公司,无锡市山水城科教软件园,无锡
视觉算法工程师,10k-15k,1-3年,杭州半云科技有限公司,福州市鼓楼区西洪路528号云座1号楼5楼,福州
算法工程师（商业化方向）,25k-35k,3-5年,深圳市丰巢网络技术有限公司,前海大厦T2 19楼,深圳
深度学习语音/语义算法开发工程师,20k-40k,1-3年,北京石头世纪科技股份有限公司,康健宝胜广场C座,北京
感知融合算法工程师,20k-40k,1-3年,北京石头世纪科技股份有限公司,康健宝胜广场C座,北京
硬件编解码算法工程师-【校招岗】,20k-40k,不限,北京达佳互联信息技术有限公司,海淀区上地西路6号快手总部,北京
高级视觉算法工程师,20k-40k,3-5年,厦门美图之家科技有限公司,优盛大厦B座7层,北京
图像算法工程师(武汉),18k-35k,3-5年,招联消费金融有限公司,武汉市东湖新技术产业开发区光谷金融港A9栋3楼,武汉
智能算法工程师,20k-30k,3-5年,亿维融智软件科技（北京）有限公司,深圳市南山区数字技术园A3,深圳
推荐算法工程师-【主APP】,30k-50k,3-5年,北京达佳互联信息技术有限公司,上地西路6号快手总部,北京
推荐算法工程师/专家 -【主APP内容增长】,25k-50k,不限,北京达佳互联信息技术有限公司,上地西路6号快手总部,北京
视觉算法工程师,35k-70k,5-10年,梅卡曼德（北京）机器人科技有限公司,上地创业路8号群英科技园,北京
高级算法工程师-H1479X,25k-50k,3-5年,OPPO广东移动通信有限公司,华润前海大厦,深圳
isp算法工程师(j10024),20k-40k,3-5年,梅卡曼德（北京）机器人科技有限公司,自主创新大厦,北京
视觉算法工程师（3D相机/算法验证）(J10021),15k-30k,1-3年,梅卡曼德（北京）机器人科技有限公司,自主创新大厦,北京
机器人高级算法工程师,30k-55k,5-10年,北京三快在线科技有限公司,汇隆商务中心北塔,深圳
资深算法工程师,30k-60k,3-5年,杭州微财网络科技有限公司,文一西路767号西溪国际商务中心E幢7楼,杭州
几何算法工程师,25k-40k,5-10年,杭州新迪数字工程系统有限公司,西斗门路3号天堂软件园E幢19楼,杭州
几何算法工程师,25k-40k,5-10年,杭州新迪数字工程系统有限公司,光谷金融港B5,武汉
广告算法工程师- 【商业化研发】,30k-60k,不限,北京达佳互联信息技术有限公司,上地西路6号快手总部,北京
高级数据挖掘工程师—用户画像,25k-50k,3-5年,抖音视界（北京）有限公司,中国大陆广东深圳市南山区深圳湾创新科技中心2栋B座6层，邮编：518000,深圳
风控算法工程师-飞书,30k-60k,不限,抖音视界（北京）有限公司,中国大陆上海上海市徐汇区古美路1520号漕河泾中心C座28层，邮编：200233,上海
系统开发/算法工程师-AI for DB/System,65k-100k,不限,抖音视界（北京）有限公司,中国大陆上海上海市闵行区宜山路1999号科技绿洲三期24号楼，邮编：200030,上海
广告算法工程师-自助投放,30k-60k,不限,抖音视界（北京）有限公司,中国大陆北京北京市朝阳区七圣中街12号院融中心A座，邮编：100020,北京
社区安全算法工程师-抖音电商,20k-40k,3-5年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区丹棱街1号互联网金融中心，邮编：100080,北京
抖音电商算法工程师-审核提效方向,25k-50k,1-3年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区丹棱街1号互联网金融中心，邮编：100080,北京
资深测试开发工程师 - 服务端/算法方向,30k-60k,3-5年,抖音视界（北京）有限公司,中国大陆上海上海市闵行区合川路2671号虹桥国际商务广场二期，邮编：201103,上海
计算机视觉算法工程师-消重与版权方向,20k-40k,1-3年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区北三环西路43号中航广场1号楼（矮楼），邮编：100089,北京
OCR资深算法工程师,60k-100k,不限,抖音视界（北京）有限公司,中国大陆上海上海市静安区昌平路990号4号楼5层，邮编：200042,上海
OCR算法工程师-北京,60k-100k,3-5年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区北三环西路43号中航广场1号楼（矮楼），邮编：100089,北京
特效图像算法工程师,25k-50k,3-5年,抖音视界（北京）有限公司,中国大陆广东深圳市南山区深圳湾创新科技中心2栋B座6层，邮编：518000,深圳
OCR算法工程师-上海,60k-100k,3-5年,抖音视界（北京）有限公司,中国大陆上海上海市静安区昌平路990号4号楼5层，邮编：200042,上海
推荐算法工程师,20k-40k,不限,抖音视界（北京）有限公司,中国大陆北京北京市海淀区中关村大街11号e世界财富中心A座2层，邮编：100190,北京
搜索算法工程师-抖音电商联盟业务,20k-40k,不限,抖音视界（北京）有限公司,中国大陆上海上海市杨浦区江湾城路99号尚浦商务中心8号楼，邮编：200438,上海
推荐算法工程师-抖音电商联盟业务,40k-80k,不限,抖音视界（北京）有限公司,中国大陆北京北京市海淀区丹棱街1号互联网金融中心，邮编：100080,北京
推荐算法工程师-算法/工程,30k-60k,不限,抖音视界（北京）有限公司,中国大陆北京北京市海淀区北三环西路甲18号大钟寺广场2号楼5层，邮编：100098,北京
反作弊算法工程师—穿山甲/Pangle（北京/上海/杭州）,25k-50k,不限,抖音视界（北京）有限公司,中国大陆北京北京市朝阳区七圣中街12号院融中心B座，邮编：100020,北京
算法工程师-舆情方向,20k-40k,不限,抖音视界（北京）有限公司,中国大陆北京北京市海淀区北三环西路43号中航广场1号楼（矮楼），邮编：100089,北京
计算机视觉（捏脸）算法工程师,30k-60k,不限,抖音视界（北京）有限公司,中国大陆浙江杭州市余杭区余杭塘路与海鸥路交叉口华夏之心19幢14层，邮编：311121,杭州
广告算法工程师-品牌广告,30k-60k,不限,抖音视界（北京）有限公司,中国大陆北京北京市朝阳区七圣中街12号院融中心A座，邮编：100020,北京
增长算法工程师—剪映/Capcut,25k-50k,不限,抖音视界（北京）有限公司,中国大陆广东深圳市南山区深圳湾创新科技中心2栋B座6层，邮编：518000,深圳
算法工程师—剪映/Capcut,25k-50k,不限,抖音视界（北京）有限公司,中国大陆广东深圳市南山区深圳湾创新科技中心2栋B座6层，邮编：518000,深圳
数据挖掘工程师-营销产品,30k-60k,3-5年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区北三环西路43号中航广场1号楼（矮楼），邮编：100089,北京
算法工程师 - 生活服务,20k-40k,不限,抖音视界（北京）有限公司,中国大陆上海上海市闵行区宜山路2000号利丰广场2号楼16F，邮编：201100,上海
计算机视觉及多模态算法工程师-电商,40k-80k,3-5年,抖音视界（北京）有限公司,中国大陆浙江杭州市余杭区仓前街道爱力中心1幢6层，邮编：311121,杭州
计算机视觉及多模态算法工程师-电商,40k-80k,3-5年,抖音视界（北京）有限公司,中国大陆上海上海市杨浦区江湾城路99号尚浦商务中心11号楼，邮编：200438,上海
算法工程师-开发套件智能化方向,30k-60k,不限,抖音视界（北京）有限公司,中国大陆广东深圳市南山区深圳湾创新科技中心2栋B座6层，邮编：518000,深圳
算法工程师-开发套件智能化方向,30k-60k,不限,抖音视界（北京）有限公司,中国大陆北京北京市海淀区北三环西路43号中航广场1号楼（矮楼），邮编：100089,北京
广告反作弊算法工程师-穿山甲广告（杭州）,25k-50k,不限,抖音视界（北京）有限公司,中国大陆浙江杭州市余杭区邱桥路西溪八方城9号楼14层，邮编：311100,杭州
特效图像算法工程师,30k-60k,3-5年,抖音视界（北京）有限公司,中国大陆广东广州市海珠区新港东路277号赫基大厦51层，邮编：510308,广州
搜索算法工程师 - 杭州（电商方向）,30k-60k,不限,抖音视界（北京）有限公司,中国大陆浙江杭州市余杭区邱桥路西溪八方城9号楼14层，邮编：311100,杭州
推荐算法高级工程师-国际化短视频,20k-40k,1-3年,抖音视界（北京）有限公司,中国大陆上海上海市徐汇区古美路1520号漕河泾中心B座1层，邮编：200233,上海
推荐算法工程师—抖音,25k-50k,不限,抖音视界（北京）有限公司,中国大陆北京北京市海淀区北三环西路27号方恒时尚中心C座，邮编：100098,北京
商达策略算法工程师-电商,20k-40k,不限,抖音视界（北京）有限公司,中国大陆上海上海市杨浦区江湾城路99号尚浦商务中心8号楼，邮编：200438,上海
三维视觉算法工程师-三维重建,25k-50k,1-3年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区中关村南四街18号紫金数码园四号楼，邮编：100190,北京
高级NLP算法工程师-抖音,30k-60k,不限,抖音视界（北京）有限公司,中国大陆北京北京市海淀区北三环西路甲18号大钟寺广场2号楼5层，邮编：100098,北京
三维视觉算法工程师 - 内容生成与场景感知,25k-50k,1-3年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区海淀北二街10号泰鹏大厦10层，邮编：100080,北京
业务策略负责人-数据挖掘-今日头条,40k-80k,不限,抖音视界（北京）有限公司,中国大陆广东深圳市南山区创业路3023号公园一号办公楼，邮编：518052,深圳
国际化广告算法工程师,25k-50k,不限,抖音视界（北京）有限公司,中国大陆北京北京市海淀区丹棱街1号互联网金融中心，邮编：100080,北京
特效图像算法工程师,25k-50k,不限,抖音视界（北京）有限公司,中国大陆广东深圳市南山区深圳湾创新科技中心2栋B座6层，邮编：518000,深圳
资深推荐算法工程师 - 国际社区产品,50k-100k,不限,抖音视界（北京）有限公司,中国大陆北京北京市海淀区苏州街3号大恒科技大厦南座16层，邮编：100000,北京
图形图像算法工程师-智能创作,25k-50k,3-5年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区中关村南四街18号紫金数码园四号楼，邮编：100190,北京
机器人控制算法工程师,20k-40k,3-5年,深兰科技（上海）有限公司,上海市浦东新区康桥路666号1号楼1-3层,上海
NLP算法工程师,40k-60k,5-10年,上海淇毓信息科技有限公司,360,北京
算法应用工程师-智能客服（广州）(J11612),15k-25k,3-5年,建信金融科技有限责任公司,建工路1号南天大厦,广州
风控系统策略算法工程师,20k-40k,1-3年,上海阅文信息技术有限公司,陆家嘴滨江中心（滨江大道5169号） N3栋,上海
NLP算法工程师,20k-40k,3-5年,上海阅文信息技术有限公司,陆家嘴滨江中心（滨江大道5169号） N3栋,上海
数据挖掘工程师(用户画像),20k-40k,3-5年,上海阅文信息技术有限公司,陆家嘴滨江中心（滨江大道5169号） N3栋,上海
SLAM算法工程师,20k-40k,1-3年,深圳蓝胖子机器智能有限公司,广州南沙区中国铁建环球中心5号楼5-1栋601,广州
感知融合算法工程师,30k-40k,3-5年,卓越纵横（深圳）科技有限公司,中粮创芯研发中心,深圳
cv算法工程师,15k-20k,1-3年,前锦网络信息技术（上海）有限公司,金融港B12,武汉
nlp算法工程师,15k-20k,1-3年,前锦网络信息技术（上海）有限公司,金融港B12,武汉
ocr算法工程师,20k-40k,3-5年,深圳萨摩耶数字科技有限公司,海阳西路512号前滩东方广场一期23楼,上海
数据挖掘岗,20k-30k,3-5年,河南中原消费金融股份有限公司,BFC外滩金融中心,上海
高级数据挖掘工程师（BJYD）,30k-40k,3-5年,中科软科技股份有限公司,朝来高科技产业园东区15号楼,北京
算法工程师（云平台方向）,25k-35k,不限,招银网络科技（深圳）有限公司,益州大道与天府四街交汇处招商银行成都金融后台服务中心,成都
PTBU-高级个性化推荐算法工程师,25k-40k,5-10年,广州酷狗计算机科技有限公司,羊城创意产业园,广州
风控算法工程师,30k-60k,不限,北京三快在线科技有限公司,望京东路科创大厦,北京
算法工程师—流量安全方向,30k-60k,不限,北京三快在线科技有限公司,望京东路科创大厦,北京
搜索算法工程师（DeepQA方向）,20k-40k,3-5年,百度在线网络技术（北京）有限公司,百度科技园,北京
人脸识别算法工程师,25k-45k,3-5年,北京一零跃动网络信息技术有限公司,航空科技大厦,北京
ai算法工程师,15k-20k,1-3年,海南凤凰木科技有限公司深圳分公司,阳光高尔夫大厦,深圳
算法引擎资深开发工程师,30k-60k,3-5年,行吟信息科技（上海）有限公司,中海国际中心B座18楼,北京
智能多媒体资深算法工程师,45k-90k,3-5年,行吟信息科技（上海）有限公司,中海国际中心B座18楼,北京
虚拟数字人算法工程师,30k-60k,不限,上海流利说信息技术有限公司,长阳路1687号长阳创谷,上海
资深游戏算法工程师,35k-50k,3-5年,上海鹰角网络科技有限公司,漕河泾中心A栋,上海
推荐算法工程师,70k-120k,不限,北京小川在线网络技术有限公司,花园东路11号泰兴大厦407,北京
语音算法工程师（数字人）,25k-50k,3-5年,北京市商汤科技开发有限公司,理想国际大厦,北京
资深算法工程师（NLP） (MJ007205),30k-45k,3-5年,广州希音供应链管理有限公司,软件大道170-1天溯科技园5号楼7 8 9 10 12 15层,南京
控制规划算法工程师,30k-45k,1-3年,北京捷象灵越科技有限公司,北京市海淀区京玺创新文化园A16,北京
三维重建算法工程师/专家,28k-55k,3-5年,千寻位置网络有限公司,国权北路1688号湾谷科技园C5栋,上海
RTK芯片算法工程师,25k-50k,3-5年,千寻位置网络有限公司,国权北路1688号湾谷科技园C5栋,上海
融合定位算法专家/资深工程师,30k-55k,3-5年,千寻位置网络有限公司,国权北路1688号湾谷科技园C5栋,上海
图像算法工程师（人脸识别）,20k-40k,3-5年,中国电信股份有限公司,朝阳门北大街19,北京
图像算法工程师（数字人驱动）,20k-40k,3-5年,中国电信股份有限公司,朝阳门北大街19,北京
自动驾驶行为预测算法工程师,35k-70k,不限,上海集度汽车有限公司,文化创意,北京
三维重建/渲染引擎算法工程师,20k-30k,3-5年,上海微创软件股份有限公司,KYMS中心C1楼301室,上海
算法工程师/专家（专项汇总）,35k-70k,不限,上海寻梦信息技术有限公司,娄山关路533号金虹桥国际中心,上海
资深算法工程师（NLP） (MJ007233),30k-45k,3-5年,广州希音供应链管理有限公司,软件大道170-1天溯科技园5号楼7 8 9 10 12 15层,南京
深度学习算法工程师,20k-35k,不限,友邦资讯科技（广州）有限公司,OCG,成都
算法工程师(J10961),25k-35k,3-5年,汤臣倍健股份有限公司,汤臣,广州
cv算法工程师,20k-30k,3-5年,广州中康数字科技有限公司,黄埔大道西100号富力盈泰广场A塔13楼,广州
算法工程师(J10091),25k-50k,5-10年,浙江汇信科技有限公司,州市莫干山路18号蓝天商务大厦18楼B座,杭州
