职位,薪资,工作时间,公司,工作地点,所在城市
python开发工程师,15k-30k,3-5年,深圳市观麦网络科技有限公司,科兴科学园B3-1402,深圳
python开发工程师,25k-35k,1-3年,微梦创科网络科技（中国）有限公司,西北旺东路10号院西区8号楼新浪总部大厦,北京
python开发工程师,18k-35k,1-3年,每日互动股份有限公司,西斗门路千岛湖智谷大厦A座14楼,杭州
python开发工程师,25k-40k,5-10年,成都仰格科技有限责任公司,环球中心,成都
python开发工程师,15k-30k,3-5年,达而观信息科技（上海）有限公司,亮秀路112号Y1座,上海
python开发工程师,12k-18k,1-3年,上海观测未来信息技术有限公司,上海市浦东新区科苑路399号张江创新园7号楼,上海
python开发工程师,12k-20k,3-5年,华风爱科气象科技（北京）有限公司,气象影视大楼,北京
python开发工程师,15k-25k,3-5年,万博时代（深圳）科技有限公司,清湖港之龙商务中心H栋10楼A区,深圳
python开发工程师,25k-50k,3-5年,北京陌陌科技有限公司,"阜通东大街1号望京Soho塔2,B座20层",北京
python开发工程师,20k-40k,3-5年,上海安势信息技术有限公司,云锦路500号绿地汇中心A座2008,上海
python开发工程师,20k-30k,3-5年,贝壳找房（北京）科技有限公司,北京市海淀区上地八街创业路2号东方电子科技大厦贝壳找房,北京
python工程师,30k-50k,5-10年,北京一点网聚信息技术有限公司,北京市朝阳区酒仙桥北路9号恒通国际创新园C7南侧,北京
python开发工程师,18k-25k,3-5年,成都链安科技有限公司,天府软件园D7座504室 链安科技,成都
python开发工程师,16k-32k,1-3年,深圳快造科技有限公司,平山一路大园工业区鸿莱科创楼13号楼5楼,深圳
Python开发工程师,20k-30k,3-5年,深圳快造科技有限公司,平山一路大园工业区鸿莱科创楼13号楼5楼,深圳
python开发工程师,15k-25k,3-5年,达而观信息科技（上海）有限公司,知春路量子芯座大厦,北京
python开发工程师,10k-20k,1-3年,上海弘连网络科技有限公司,中春路7001号G座3，4层,上海
Python开发工程师,13k-20k,3-5年,深圳金蝶账无忧网络科技有限公司,深圳市南山区科技园科技南路12路2号金蝶软件园,深圳
Python开发工程师,30k-40k,3-5年,深圳云天励飞技术股份有限公司,深圳湾科技产业园10栋B座,深圳
python开发工程师,5k-10k,1-3年,中国民航信息网络股份有限公司重庆分公司,黄山大道中段7号木星科技楼3-2区,重庆
Python开发工程师,20k-40k,不限,南方报业传媒集团,广州大道中289号,广州
Java/Python/C++/GO/C开发工程师,20k-40k,不限,北京外企德科人力资源服务上海有限公司,杭州市滨江区江虹路410号,杭州
python开发工程师,10k-20k,3-5年,四川汉科计算机信息技术有限公司,天府软件园C区C10栋,成都
python开发工程师,20k-30k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
python开发工程师,15k-30k,1-3年,北京外企德科人力资源服务上海有限公司,华为武汉研究所,武汉
python开发工程师,12k-22k,1-3年,北京外企德科人力资源服务上海有限公司,华为武汉研究所,武汉
python开发工程师,10k-20k,1-3年,北京外企德科人力资源服务上海有限公司,广东省东莞市松山湖畔欧洲小镇,东莞
python开发工程师,15k-30k,1-3年,北京外企德科人力资源服务上海有限公司,天安云谷1栋,深圳
python开发工程师,13k-26k,1-3年,北京外企德科人力资源服务上海有限公司,丈八七路与锦业路交汇处华为西安研究所,西安
python开发工程师,15k-20k,1-3年,万宝盛华企业管理咨询（上海）有限公司,漕溪路,上海
python开发工程师,20k-40k,3-5年,科锐尔人力资源服务（苏州）有限公司,锦业路,西安
C/C++/Java/Python/Web开发,18k-36k,不限,北京外企德科人力资源服务上海有限公司,五和大道深圳华为坂田园区-H区华为软件研发中心,深圳
python开发工程师,15k-19k,1-3年,杭州谐云科技有限公司,世纪金融,上海
python运维开发,18k-30k,5-10年,杭州谐云科技有限公司,海创园7幢,杭州
Python后台开发工程师,10k-15k,1-3年,所以（深圳）互联网科技有限责任公司,橡皮树创意坊·C5栋,深圳
python后端开发工程师,8k-13k,1-3年,广州发业信息科技有限公司,珠江新城华穗路263号(与花城大道交界处)双城国际写字楼,广州
python开发工程师-中国移动云,18k-36k,3-5年,武汉康德雷格企业管理有限公司,苏州虎丘区中移（苏州）软件技术有限公司58号,苏州
python后端开发工程师,15k-25k,1-3年,珠海盈米基金销售有限公司,凤凰天阶苑5栋5012,长沙
python研发工程师,6k-12k,不限,云孚科技（北京）有限公司,营北社区,武汉
python开发工程师,10k-20k,1年以下,上海玄信资产管理中心（有限合伙）,陆家嘴世纪金融广场,上海
python后端开发工程师,10k-15k,不限,北京庖丁科技有限公司,唐延路11号西安国寿金融中心A座8楼804,西安
Python后端,11k-22k,1-3年,北京庖丁科技有限公司,中国铁建广场A座704,北京
Java/测试/安卓/运维/C++/Python,15k-30k,3-5年,中软国际科技服务有限公司,中软国际,西安
Python高级（SG0303）,10k-15k,3-5年,长沙蜜獾信息科技有限公司,尖山路39号中电软件园总部大楼裙楼东侧1-3楼,长沙
自动化测试工程师（web、接口自动化；python/java）,15k-30k,3-5年,上海亘岩网络科技有限公司,联航路1188弄浦江智谷33号楼,上海
Python开发工程师（RPA开发方向）,8k-13k,1-3年,广州发业信息科技有限公司,珠江新城华穗路263号双城国际东塔23楼整层,广州
python后端工程师,14k-21k,1-3年,北京罗迅科技有限公司,鲁商国奥城,济南
python开发工程师,15k-28k,1-3年,深圳微米信息服务有限公司,西丽创科路260号创智云城一期A7栋24层,深圳
python开发工程师,18k-28k,3-5年,深圳微米信息服务有限公司,西丽创科路260号创智云城一期A7栋24层,深圳
Python、C、C++开发，试用期不打折,15k-30k,不限,北京外企德科人力资源服务上海有限公司,新金桥路2222号,上海
python研发工程师,6k-12k,不限,云孚科技（北京）有限公司,营北社区,武汉
python开发工程师,15k-30k,在校/应届,深圳市言羽科技有限公司,泰康保险大厦,上海
python开发工程师,20k-40k,不限,深圳市言羽科技有限公司,泰康保险大厦,上海
初级python,10k-15k,1-3年,深圳十方融海科技有限公司,软件产业基地5栋D座8楼,深圳
Python架构师(SG0304),15k-25k,5-10年,长沙蜜獾信息科技有限公司,尖山路39号中电软件园总部大楼裙楼东侧1-3楼,长沙
Python开发实施工程师（甲方自研-金融）,14k-25k,3-5年,浙江保融科技股份有限公司,余杭塘路1993号关瑞大厦C幢8楼,杭州
python开发工程师,7k-12k,在校/应届,深圳市惠群商业数据技术有限公司,科技园科丰路2号特发信息港B栋,深圳
Python工程师（应届）,10k-15k,在校/应届,北京柏睿数据技术股份有限公司,保利国际广场,北京
软件工程师（C++/ Python 机器人智能 校招/社招）,18k-35k,不限,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
c++/c/java/python/go开发工程师,15k-27k,不限,北京外企德科人力资源服务上海有限公司,华为基地,深圳
后端开发工程师（java/c/c++/python等）,18k-35k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,上海
c++/java/python/go开发工程师,15k-30k,3-5年,北京外企德科人力资源服务上海有限公司,华为研究所,成都
java/web前端/c++/python/go/测试/大数据/运维等,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为基地,深圳
Python开发实习生,3k-6k,在校/应届,上海茗日智能科技有限公司,招商局广场,上海
宝马对话AI | 后端开发Python工程师(J779P),12k-24k,1-3年,上海茗日智能科技有限公司,佳程广场,北京
后端研发工程师(Python)(JB79P),12k-24k,1-3年,上海茗日智能科技有限公司,招商局广场,上海
后端开发工程师 (Python | 应用开发 | SH)(J979P),12k-24k,1-3年,上海茗日智能科技有限公司,招商局广场,上海
Python后端开发实习生（重庆岗）(Z2306),2k-4k,在校/应届,上海茗日智能科技有限公司,光谷,重庆
Python实习生,3k-4k,不限,广州爱范儿科技股份有限公司,新港中路397号TIT创意园区新港中路397号品牌街5号,广州
Python、C、C++开发，试用期不打折,15k-30k,不限,北京外企德科人力资源服务上海有限公司,新金桥路2222号,上海
软件开发工程师（c#/python）,15k-30k,3-5年,联想（北京）有限公司,外贸商务大厦,苏州
python测试开发,8k-12k,3-5年,杭州博彦信息技术有限公司,智地,成都
Java/C/C++/Python/JS/测试/运维,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,上海
软件工程师（C++/ Python 机器人智能 校招/社招）,18k-35k,不限,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
Python助教,10k-20k,1-3年,北京奥鹏远程教育中心有限公司,北京市海淀区西三环北路甲2号院中关村国防科技园2号楼十层,北京
python后端工程师,15k-30k,不限,浙江天垂科技有限公司,交投科创中心C座10层,杭州
python数据开发工程师,15k-18k,3-5年,上海坤亿信息技术有限公司,博世,苏州
python开发工程师（线上面试）,15k-16k,3-5年,上海坤亿信息技术有限公司,苏州园区星龙街附近，星龙街455号,苏州
c++/python开发工程师,13k-15k,3-5年,上海坤亿信息技术有限公司,中山南1路736号,上海
c++/python/java,13k-14k,3-5年,上海坤亿信息技术有限公司,中山南1路736号博荟广场B座,上海
后端开发工程师（java/c/c++/python等）,18k-35k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,上海
c++/java/python/go开发工程师,15k-30k,3-5年,北京外企德科人力资源服务上海有限公司,华为研究所,成都
java/web前端/c++/python/go/测试/大数据/运维等,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为基地,深圳
python开发工程师(2023届应届毕业生),15k-25k,不限,因诺（上海）资产管理有限公司,宣外大街6号庄胜广场南翼18层,北京
Python、C、C++开发，试用期不打折,15k-30k,不限,北京外企德科人力资源服务上海有限公司,新金桥路2222号,上海
python主讲老师,15k-25k,3-5年,网易（杭州）网络有限公司,网易大厦,北京
运维开发工程师(python),17k-28k,5-10年,鲸灵云（杭州）智能有限公司,文一西路恒生科技园3号楼,杭州
光大银行Python开发,15k-20k,3-5年,北京开科唯识技术股份有限公司,青岛市香港东路195号 T4 光大理财大厦,青岛
中级Python开发,16k-21k,5-10年,加绩（上海）科技服务有限公司,杨高南路428号自由世纪广场2号8楼,上海
Python Data Engineer,12k-24k,不限,普华永道信息技术（上海）有限公司,金科路2889弄B座6楼,上海
python后端开发工程师,15k-20k,3-5年,深圳市德科信息技术有限公司,金茂大厦46楼,上海
python后端开发工程师,20k-40k,3-5年,北京快乐开工科技有限公司,三里屯SOHO,北京
Python量化工程师,20k-30k,3-5年,北京同道大象科技有限公司,万达广场10号楼1206,北京
python开发工程师 (MJ000216),18k-35k,不限,北京琥珀创想科技有限公司,北苑路30号院文化创意大厦D座6层北京琥珀创想科技有限公司,北京
Python研发工程师（外包岗）,15k-22k,3-5年,贝壳找房（北京）科技有限公司,北京市海淀区上地八街创业路2号东方电子科技大厦贝壳找房,北京
高级python开发工程师,20k-30k,5-10年,辰海云（深圳）科技有限公司,天安云谷2期4栋34楼,深圳
python爬虫工程师,20k-30k,3-5年,辰海云（深圳）科技有限公司,天安云谷2期4栋34楼,深圳
Python 后端开发工程师 (MJ000327),15k-20k,1-3年,翼健（上海）信息科技有限公司,长宁德必易园,上海
高级python工程师,20k-30k,3-5年,辰海云（深圳）科技有限公司,天安云谷2期4栋34楼,深圳
Python开发工程师(数据处理开发方向),12k-20k,3-5年,上海宝云网络科技有限公司,郭守敬路498号浦东软件园,上海
软件开发python/c++/c/java,15k-28k,3-5年,华为技术有限公司,江韵路9号华为研发中心,苏州
软件开发python/c++/c/java,15k-28k,3-5年,华为技术有限公司,华为研究所,西安
python开发工程师-电商,20k-40k,3-5年,抖音视界（北京）有限公司,邱桥路西溪八方城9号楼14层,杭州
Python后端高级开发工程师 — 抖音,30k-60k,1-3年,抖音视界（北京）有限公司,创业路3023号公园一号办公楼,深圳
Python 研发工程师,30k-60k,不限,抖音视界（北京）有限公司,北三环西路43号中航广场1号楼（矮楼）,北京
后端Python开发主程,30k-40k,5-10年,在线途游（北京）科技有限公司,北苑路甲13号院1号楼,北京
Python开发工程师（高级）,18k-25k,5-10年,北京视野智慧数字科技有限公司,知春路盈都大厦B座17层,北京
Java/C++/Python//运维/C,15k-30k,3-5年,中软国际科技服务有限公司,中软国际,西安
后端算法工程师（python）,20k-40k,3-5年,上海智臻智能网络科技股份有限公司,金沙江西路1555弄383号1楼,上海
资深自动化测试工程师（Python/Java/JS),15k-30k,5-10年,亿磐系统（深圳）有限公司,Icp环汇商业广场M3座720室,成都
