职位,薪资,工作时间,公司,工作地点,所在城市
C／C++/JAVA/python/go/web/测试,18k-35k,1-3年,北京外企德科人力资源服务上海有限公司,华为,西安
Java/C/C++/Python/Go/Web/测试——杭州,20k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,杭州
java、前端、c/c++、go、python、测试等开发,15k-30k,不限,北京外企德科人力资源服务上海有限公司,绿城玉兰广场,济南
Java /C/C++/C#/ Python / GO / JS,15k-30k,不限,北京外企德科人力资源服务上海有限公司,锦业路127号,西安
c/c++/java/python/go开发工程师,17k-34k,不限,北京外企德科人力资源服务上海有限公司,软件大道101号,南京
各软件开发（JAVA Python C++ JS/Web前端）,15k-30k,不限,北京外企德科人力资源服务上海有限公司,南京雨花台区华为南京研究所软件大道,南京
C／C++/JAVA/python/go/web/测试,18k-35k,1-3年,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
C++/C、Java、Python、GO、web前端、测试-深圳,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,深圳
python开发工程师（双休+五险一金全额）,15k-30k,1-3年,北京外企德科人力资源服务上海有限公司,武汉华为研究所,武汉
java/python/c++通用软件开发工程师,18k-35k,不限,北京外企德科人力资源服务上海有限公司,华为研究,西安
软件开发（C/C++/python/Java）,15k-30k,1-3年,北京外企德科人力资源服务上海有限公司,华为研究所,杭州
java/c++/c/python 各种语言软件开发工程师,16k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,西安
java/c++/c/python各种语言软件开发工程师,16k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究,成都
[JAVA/Python/C/C++/Go开发/运维/测试],15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为西安研究所,西安
java/python/c++/c#/测试工程师,12k-24k,不限,北京外企德科人力资源服务上海有限公司,西源大道1899号华为研究所,成都
C/ C ++/ Java/Python/GO/Web/运维/测试,15k-30k,不限,北京外企德科人力资源服务上海有限公司,西安研究所,西安
C/ C ++/ Java/Python/GO/Web/运维/测试,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,杭州
Java/python/web/c/c++/js/go/测试/运维,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,杭州
c/c++/python/java/golang,15k-28k,不限,北京外企德科人力资源服务上海有限公司,成都市郫都区西源大道1899号华为研究所,成都
java/python/c++/c#/测试工程师,12k-24k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
"java，c，c++,python，go，算法工程师",20k-40k,不限,北京外企德科人力资源服务上海有限公司,华为坂田,深圳
java/c/c++/python/go/js/web/测试/软件开发/双休,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为,西安
java/c/c++/python/go/js/web/测试/软件开发/双休,13k-26k,不限,北京外企德科人力资源服务上海有限公司,坂田华为,深圳
Java/C++/C/Python工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,江虹路410号,杭州
Java/C++/C/Python工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,锦业路127号,西安
c++/java/python/go开发工程师,15k-30k,3-5年,北京外企德科人力资源服务上海有限公司,华为研究所,上海
Java//python/C/C++/Go/开发、测试、运维,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,成都
Java/web/C/C++/Python/测试/运维,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,杭州
C++/C/Java/Python/GO开发工程师,17k-25k,不限,北京外企德科人力资源服务上海有限公司,广东深圳坂田华为基地,深圳
C++/C/Java/Python/GO开发工程师,15k-25k,不限,北京外企德科人力资源服务上海有限公司,华为研发,上海
C++/C/Java/Python/GO开发工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
研发【Java/Python/C/C++/Go/Js/Scala】,20k-40k,3-5年,北京外企德科人力资源服务上海有限公司,华为坂田,深圳
研发【Java/Python/C/C++/Go/Js/Scala】,20k-40k,3-5年,北京外企德科人力资源服务上海有限公司,华为研究,成都
研发【Java/Python/C/C++/Go/Js/Scala】,20k-40k,3-5年,北京外企德科人力资源服务上海有限公司,华为研究,上海
Java/C++/C/Python工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,西源大道1899号华为成都研究所,成都
java/python/C++/C,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,成都
Java、C/C++、python开发（华为中央研究院）,15k-30k,不限,北京外企德科人力资源服务上海有限公司,金桥经济技术开发区新金桥路2222号上海华为技术有限公司(新金桥路),上海
c++/c/java/python/go开发工程师,15k-25k,不限,北京外企德科人力资源服务上海有限公司,西安华为,西安
C++/C/Java/Python/GO开发工程师,15k-25k,不限,北京外企德科人力资源服务上海有限公司,成都华为研究所,成都
Java/python/C++/C/测试/前端,15k-30k,不限,北京外企德科人力资源服务上海有限公司,深圳龙岗区深圳华为坂田基地坂田基地,深圳
java/c/c++/python/go/js/web/测试/软件开发/双休,15k-30k,不限,北京外企德科人力资源服务上海有限公司,上海华为,上海
java/web前端/c++/python开发工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为技术有限公司2222,上海
Java/C/C++/Python/JS/Web前端,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为上海研究所,上海
java/python/c/c++/前端开发/软件测试,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,成都
通用研发c/c++/java/js/python/php...,15k-30k,不限,北京外企德科人力资源服务上海有限公司,江虹路410号z1栋华为技术有限公司杭州研究所,杭州
软件工程师（C++/ Python 机器人智能 校招/社招）,18k-35k,不限,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
后端开发工程师（java/c/c++/python等）,18k-35k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,上海
c++/java/python/go开发工程师,15k-30k,3-5年,北京外企德科人力资源服务上海有限公司,华为研究所,成都
java/web前端/c++/python/go/测试/大数据/运维等,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为基地,深圳
python后端开发工程师,15k-30k,不限,科锐尔人力资源服务（苏州）有限公司,神州大厦,西安
软件开发工程师（python）,20k-40k,不限,科锐尔人力资源服务（苏州）有限公司,中晶,西安
python开发工程师（大厂、高薪）,15k-30k,不限,科锐尔人力资源服务（苏州）有限公司,华为,西安
java/python/web前端开发工程师,20k-40k,不限,科锐尔人力资源服务（苏州）有限公司,坂田,深圳
python开发工程师,15k-25k,3-5年,北京国海智达投资咨询有限公司,花神大道23号,南京
软件工程师（C++/ Python 机器人智能 校招/社招）,18k-35k,不限,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
后端开发工程师（java/c/c++/python等）,18k-35k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,上海
c++/java/python/go开发工程师,15k-30k,3-5年,北京外企德科人力资源服务上海有限公司,华为研究所,成都
c++/c/java/python/go开发工程师,15k-25k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,杭州
java/web前端/c++/python/go/测试/大数据/运维等,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为基地,深圳
python工程师,20k-30k,不限,上海贝猎集团六安网络科技股份有限公司,海岸中心12楼1209,无锡
python后端开发工程师,20k-30k,3-5年,深圳微米信息服务有限公司,西丽创科路260号创智云城一期A7栋24层,深圳
python爬虫工程师,2k-4k,在校/应届,北京岁月桔子科技有限公司,盈科中心B栋702A,北京
高级java开发工程师（还招python、大数据、前端、测试）,15k-30k,不限,成都科之锐人力资源服务有限公司,坂田华为基地,深圳
Python开发工程师,15k-30k,1-3年,行云智能（深圳）技术有限公司,田厦金牛广场A座1705,深圳
Python开发工程师（实习）,5k-10k,在校/应届,上海玄信资产管理中心（有限合伙）,陆家嘴世纪金融广场,上海
高级python开发工程师,20k-40k,3-5年,深圳茂源资本资产管理有限公司,深南大道9678号大冲商务中心,深圳
中级python开发工程师,15k-25k,3-5年,深圳微米信息服务有限公司,西丽创科路260号创智云城一期A7栋24层,深圳
python后端开发工程师,16k-20k,1-3年,深圳微米信息服务有限公司,西丽创科路260号创智云城一期A7栋24层,深圳
python后端开发工程师,20k-30k,5-10年,深圳微米信息服务有限公司,西丽创科路260号创智云城一期A7栋24层,深圳
python高级开发工程师,30k-50k,1-3年,深圳市言羽科技有限公司,知春路盈都大厦,北京
Python实习工程师,3k-6k,不限,成都亚然科技中心,青和里北段 阳光新业中心-1号楼,成都
python开发工程师,14k-16k,3-5年,北京科锐国际人力资源股份有限公司,东丽区空港商务园,天津
后端开发（Java/Python大厂外包）,10k-15k,1-3年,广州摩芋信息技术有限公司,天河软件园,广州
python后端开发,4k-6k,在校/应届,景生星月信息科技（北京）有限公司,招商局大厦,北京
python开发工程师,7k-8k,在校/应届,北京华美汉盛信息技术有限公司,恒润国际大厦10层1007,北京
Python实习生,2k-4k,在校/应届,北京岁月桔子科技有限公司,盈科中心B栋702A,北京
Python开发（运维方向）,15k-25k,3-5年,广州诗悦网络科技有限公司,广州市天河区科韵路36-38号三楼,广州
python开发工程师,3k-6k,在校/应届,奇点浩翰数据技术（北京）有限公司,朝阳区北大街8号富华大厦A座5层北区,北京
python开发工程师 (MJ000034),10k-20k,3-5年,武汉星煜领航管理咨询有限公司,天合凯旋,成都
python开发工程师,3k-6k,在校/应届,奇点浩翰数据技术（北京）有限公司,东方国际科技大厦1007,上海
Python高级工程师,20k-40k,3-5年,北京第三石科技发展有限公司,望京SOHO,北京
Python开发实习生,4k-6k,不限,成都亚然科技中心,青和里北段 阳光新业中心-1号楼,成都
技术经理/总监（Java/PHP/python ）,20k-40k,5-10年,广东保椿养老产业集团股份有限公司,康园路191保椿集团,广州
python开发工程师,12k-18k,1-3年,深圳市小溪流科技有限公司,高新奇产业园2期2号楼403,深圳
python开发工程师,12k-18k,3-5年,达而观信息科技（上海）有限公司,五四北路317号,福州
python开发工程师,9k-14k,1-3年,成都博智维讯信息技术股份有限公司,天府软件园E区E8-1（12楼）,成都
python开发,18k-36k,3-5年,武汉佰悦互娱科技有限公司,现代光谷世贸中心H栋,武汉
python开发工程师,20k-40k,3-5年,南京玖奕私募基金管理合伙企业（有限合伙）,源深路355号源深金融大厦,上海
python开发工程师,7k-8k,在校/应届,北京华美汉盛信息技术有限公司,恒润国际大厦10层1007,北京
python开发工程师,4k-8k,在校/应届,杭州问点事信息技术有限公司,海创科技中心一号楼1502,杭州
python工程师,25k-50k,3-5年,深圳和润达科技有限公司,凤凰城科能路中集智园B座8楼,深圳
python开发工程师,20k-40k,5-10年,上海晓途网络科技有限公司,淮海西路432号凯利大厦4楼,上海
python开发工程师,20k-25k,3-5年,浩云科技股份有限公司,番禺区天安节能科技园总部中心22号楼（浩云科技大楼）,广州
python开发工程师,10k-15k,5-10年,成都运荔枝科技有限公司,火炬·动力港A区8栋1单元6楼,成都
python开发工程师,8k-13k,在校/应届,远江盛邦（北京）网络安全科技股份有限公司,宝德,西安
Python开发工程师,10k-15k,1-3年,广州易度网络信息有限公司,高普路38号金发科技创新社区5栋324 润普网络,广州
python开发工程师,17k-23k,1-3年,上海优宁维生物科技股份有限公司,申江科创园16号楼,上海
python开发工程师,20k-30k,3-5年,北京志翔科技股份有限公司,学院路35号世宁大厦11层1101室（地铁十号线西土城站）,北京
python工程师,8k-15k,在校/应届,昇腾技术（深圳）有限公司,前海深港青年梦工厂7号楼,深圳
python开发工程师,12k-15k,3-5年,成都讯格得信息科技有限公司,环球中心E5栋3-2-915,成都
python开发工程师,15k-30k,1-3年,华港咨询（深圳）有限公司,汉京,深圳
python开发工程师,9k-16k,1-3年,苏州卓曜智能科技有限公司,金阳东路1068号Q栋,苏州
Python开发工程师,10k-13k,在校/应届,上海华讯网络系统有限公司北京分公司,工体北路甲2号盈科中心B栋18层,北京
python开发工程师,5k-10k,在校/应届,辽宁北斗云数字科技有限公司,光荣街,沈阳
python开发工程师,15k-30k,3-5年,北京星尘纪元智能科技有限公司,建外SOHO东区B座,北京
python开发工程师,18k-25k,3-5年,北京威力强化科技有限公司,银河SOHO D座 50315,北京
python开发工程师,15k-25k,在校/应届,丰图科技（深圳）有限公司,光谷金融港B15栋6层,武汉
python开发工程师,15k-25k,3-5年,北京热刺激光技术有限责任公司,北京市朝阳区酒仙桥中路靠近电子城·创新产业园,北京
python开发工程师,13k-17k,3-5年,合肥网达软件有限公司,财富广场首座,合肥
Python开发工程师,6k-8k,在校/应届,北京伟鹏华盈电子有限公司,圆融时代广场23幢A座（民生金融大厦）1018-A,苏州
python开发工程师,10k-20k,1-3年,深圳市华睿凯实业有限公司,深圳市龙华区大浪街道横朗社区工业园路1号2栋,深圳
python开发工程师,15k-30k,3-5年,杭州米链科技有限公司,蒋村,杭州
python开发工程师,6k-12k,在校/应届,北京迈迪培尔信息技术有限公司,莲石湖西路98号院7号楼801-1北京迈迪培尔信息技术有限公司,北京
python开发工程师,15k-25k,在校/应届,上海穰川信息技术有限公司,上海市浦东新区亮秀路112号y1楼510,上海
python工程师,10k-20k,1-3年,北京柏睿数据技术股份有限公司,中安创谷,合肥
python开发工程师,15k-30k,3-5年,杭州务新网络科技有限公司,南环路3760号保亿创艺大厦(南环路)301室,杭州
python开发工程师,25k-35k,3-5年,北京音娱时光科技有限公司,北航致真大厦,北京
python开发工程师,5k-10k,在校/应届,成都了了科技有限公司,丰德国际广场A3座15楼,成都
python开发工程师,12k-18k,3-5年,华云信息技术工程有限公司,天府三街新希望国际B座1710,成都
python开发工程师,10k-18k,在校/应届,浙江数智交院科技股份有限公司,余杭塘路928号西溪园,杭州
python开发工程师,20k-40k,1-3年,全美在线（北京）科技股份有限公司,浦东软件园三期博云路36号,上海
python开发工程师,15k-30k,3-5年,上海贞历网络科技有限公司,延安西路726号华敏翰尊28楼E,上海
python,6k-8k,在校/应届,北京直引科技有限公司,世纪科贸大厦,北京
python开发工程师,5k-8k,1-3年,重庆康洲大数据（集团）有限公司,茶园新区玉马路8号科创园C栋2F（可导航南岸区智慧城市体验中心）,重庆
python开发工程师（华为中央研究院）,18k-35k,1-3年,北京外企德科人力资源服务上海有限公司,上海华为研究所,上海
JAVA/Python/C/C++/Go开发/运维/测试,16k-30k,不限,北京外企德科人力资源服务上海有限公司,华为,南京
python开发工程师,15k-30k,1-3年,上海贝猎集团六安网络科技股份有限公司,宜山路1618号新意城,上海
python开发工程师,15k-25k,1-3年,上海贝猎集团六安网络科技股份有限公司,海岸中心,无锡
python开发工程师,35k-50k,不限,恩斯特无锡企业管理咨询有限公司,东升国际,北京
python开发工程师,30k-45k,不限,恩斯特无锡企业管理咨询有限公司,永泰庄北路1号中关村东升国际,北京
python开发工程师,16k-32k,不限,科锐数字科技（苏州）有限公司,锦业路127号,西安
python开发工程师,23k-26k,3-5年,成都科之锐人力资源服务有限公司,上海兰生大厦,上海
python开发工程师,20k-40k,不限,科锐数字科技（苏州）有限公司,陕西省西安市雁塔区锦业路127号,西安
python工程师,15k-25k,不限,埃摩森网络科技（上海）有限公司,海岸中心,无锡
python开发工程师,30k-45k,5-10年,埃摩森企业管理咨询（武汉）有限公司,昆仑山路58号,苏州
python开发工程师,20k-40k,不限,武汉尚仕杰企业管理顾问有限公司,科技城,苏州
python开发工程师,40k-60k,不限,上海睿资达企业管理咨询有限公司,茅台,北京
python开发工程师,20k-40k,3-5年,陕西科锐尔人力资源服务有限公司,丈八四路,西安
python,17k-30k,3-5年,湖北添楚瀚才传媒有限公司,学院路学院8号东配楼,北京
python开发工程师,25k-40k,3-5年,上海睿资达企业管理咨询有限公司,商城路,上海
python开发工程师,28k-40k,5-10年,上海仕进信息科技有限公司,来福士,上海
python开发工程师,15k-30k,3-5年,陕西科锐尔人力资源服务有限公司,华为,西安
python开发工程师,25k-45k,3-5年,北京睿和良木管理咨询有限公司,大望路,北京
python开发工程师,25k-50k,3-5年,成都维森凯睿信息技术有限公司,黄浦区南京东路南京大楼13F,上海
python开发,15k-25k,1-3年,科锐国际人力资源（武汉）有限责任公司,浦东新区张江博云路36号E座,上海
python开发工程师（实习生）,5k-6k,在校/应届,中电达通数据技术股份有限公司,傲城融富中心B座1003,北京
Python 后台工程师,15k-30k,不限,杭州映云科技有限公司,仓前街道龙园路88号创鑫时代广场3幢A303,杭州
Python 后台工程师,10k-15k,不限,杭州映云科技有限公司,学府路海伦堡海伦先生1栋17A楼1814室,昆明
python数据开发工程师,12k-24k,3-5年,南京辰阔网络科技有限公司北京分公司,知春路23号量子银座大厦6层,北京
python后端开发工程师,9k-13k,3-5年,英特利普（上海）信息技术有限公司,湘江新城,长沙
ERP实施顾问(Python开发),8k-15k,1-3年,成都普赛睿生物医药科技有限公司,环球中心W5区2106,成都
python中后台开发,35k-60k,5-10年,成都卓唯企业管理咨询有限公司,海淀,北京
python开发实习生,4k-7k,在校/应届,上海闵行区青悦环保信息技术服务中心,上海市松江区广富林路658号3号楼1409室,上海
python后端开发工程师,22k-35k,3-5年,北京古灵阁科技有限公司,酒仙桥瀚海国际,北京
python工程师（兼职）,2k-4k,不限,美译通（深圳）翻译有限公司,南山云谷,深圳
python爬虫实习工程师,4k-7k,在校/应届,上海闵行区青悦环保信息技术服务中心,上海市松江区广富林路658号3号楼1409室,上海
python后端开发工程师（2023届）,8k-10k,在校/应届,杭州青塔科技有限公司,祥园路88号中国智慧信息产业园I幢6楼,杭州
高级python开发工程师,15k-20k,3-5年,威趣科技（深圳）有限公司,百度国际大厦西塔楼2604,深圳
python开发工程师（外派道富）,9k-14k,在校/应届,浙江网新恒天软件有限公司,道富,杭州
中级python开发工程师,18k-20k,1-3年,上海江煦信息科技有限公司,上中路495号汇达商务园B座311室,上海
python后端开发工程师助理,3k-6k,在校/应届,夸克云智科技（深圳）有限公司,深圳市龙岗区南湾街道上李朗社区平吉大道66号康利城1号、2号1号楼601,深圳
Python开发工程师 (MJ000160),15k-20k,3-5年,美琦佳成网络科技有限公司,恒创智汇园可园A栋162-168号【美琦佳成】,广州
python测试工程师,10k-15k,1-3年,软通动力技术服务有限公司北京分公司,滨康路101号海威中心,杭州
python爬虫工程师（23届实习）,3k-4k,在校/应届,云润大数据服务有限公司,高普路138号西座3楼,广州
python后端开发工程师,10k-15k,1-3年,上海趋佳信息科技有限公司,电厂南路河南省国家大学科技园东区8号楼1307,郑州
python后端开发工程师,15k-25k,3-5年,上海趋佳信息科技有限公司,上海浦东新区浦东南路2250号,上海
python后端开发工程师,20k-40k,3-5年,南京玖奕私募基金管理合伙企业（有限合伙）,上海市浦东新区源深路靠近源深金融大厦,上海
python软件工程师,20k-40k,3-5年,南京玖奕私募基金管理合伙企业（有限合伙）,源深路355号源深金融大厦,上海
高级python开发工程师,20k-40k,3-5年,南京玖奕私募基金管理合伙企业（有限合伙）,源深路355号源深金融大厦,上海
Python爬虫工程师（实习生）,4k-6k,在校/应届,观澜网络（杭州）有限公司,江虹路611号上峰电商产业园3号楼3楼,杭州
Python网络爬虫开发（实习）,4k-5k,不限,上海数旦信息技术有限公司,钦州路100号,上海
python爬虫工程师,6k-9k,在校/应届,深圳市乐思软件技术有限公司,蛇口沿山路45号佳利泰大厦,深圳
python爬虫工程师,9k-12k,1-3年,深圳市乐思软件技术有限公司,蛇口沿山路45号佳利泰大厦,深圳
python后端开发工程师,16k-26k,3-5年,上海睿沃信息科技有限公司,特斯拉,上海
Python开发工程师-成都,15k-25k,1-3年,成都华为技术有限公司,西源大道1899号华为技术有限公司成都研究所,成都
python后端开发工程师,10k-20k,在校/应届,杭州映云科技有限公司,学府路海伦堡海伦先生1栋17A楼1814室,昆明
python开发实习生,3k-5k,在校/应届,北京华道资本投资有限公司,北太平庄街道知春路6号锦秋国际大厦A座1702室,北京
2022校招Python开发工程师(J10248),18k-25k,在校/应届,深圳云天励飞技术股份有限公司,深圳湾科技产业园10栋B座,深圳
服务器开发实习生（Python，有转正机会）,4k-6k,在校/应届,北京蜂鸟于飞科技有限公司,银河sohoA座10616,北京
中高级python后台工程师,15k-30k,3-5年,广州探迹科技有限公司,大学城中二横路26号研发大厦5层,广州
中级后端开发工程师 （Python）,13k-18k,1-3年,深圳市橡树黑卡网络科技有限公司,南山区粤海街道百度国际大厦西塔2305,深圳
python技术助理,3k-5k,在校/应届,北京思瑞明创软件科技有限公司,京市南湖西园里外里 (南湖西园429号楼）2单元1101室,北京
python爬虫工程师,10k-15k,3-5年,坚持一下科技（重庆）有限公司,两江数字经济产业园7栋5楼坚持一下科技,重庆
后端开发工程师（Python）,12k-20k,不限,杭州德睿智药科技有限公司,白杨街道科技园路57号17幢812-814室,杭州
Python开发专家 (MJ000443),20k-35k,3-5年,上海晓途网络科技有限公司,凯旋路1398号T3幢11楼,上海
高级python开发工程师,20k-40k,5-10年,上海晓途网络科技有限公司,淮海西路432号凯利大厦4楼,上海
python爬虫工程师,8k-10k,在校/应届,北京聚源锐思数据科技有限公司,中关村东路18号财智国际大厦B1008,北京
python工程师 （2023届，有落户北京机会）,15k-25k,在校/应届,畅捷通信息技术股份有限公司,北清路68号(赵庄子北)用友软件园东区19C,北京
php/python开发实习生(J51675),5k-7k,在校/应届,百度在线网络技术（北京）有限公司,百度科技园,北京
python开发实习,4k-6k,在校/应届,杭州昇星智能科技有限公司,祥园路108号中国智慧信息产业园D座5楼,杭州
python后端开发实习生,3k-6k,在校/应届,广州甲龙商业有限公司,海涌路3号甲龙商业(广州)总部基地（4号线石基地铁站附近）,广州
Python开发组leader,25k-35k,3-5年,北京志翔科技股份有限公司,学院路35号世宁大厦11层1101室（地铁十号线西土城站）,北京
python数据分析经理,25k-35k,3-5年,北京志翔科技股份有限公司,学院路35号世宁大厦11层1101室（地铁十号线西土城站）,北京
python数据分析师,15k-20k,不限,北京志翔科技股份有限公司,学院路35号世宁大厦11层1101室（地铁十号线西土城站）,北京
高级python开发工程师,25k-35k,3-5年,北京志翔科技股份有限公司,学院路35号世宁大厦11层1101室（地铁十号线西土城站）,北京
高级python开发工程师,12k-14k,3-5年,普华永道商务服务（成都）有限公司,天府软件园E1-1,成都
智能应用工程师(python）,22k-44k,不限,易方达基金管理有限公司,珠江新城广州银行大厦,广州
Python编程老师,8k-12k,不限,武汉卡巴教育咨询有限公司,钟家村汉商银座,武汉
软件开发工程师 （java/python/golang方向）,15k-25k,3-5年,南京叶子科技有限公司,卓越后海中心,深圳
